state,X,Y
Andhra Pradesh,-62,-113
Arunachal Pradesh,260,121
Assam,243,97
Bihar,69,76
Chhattisgarh,-4,-1
Gujarat,-261,28
Haryana,-145,145
Himachal Pradesh,-131,196
Jharkhand,69,31
Karnataka,-168,-129
Kerala,-152,-207
Madhya Pradesh,-111,30
Maharashtra,-183,-47
Manipur,267,69
Meghalaya,195,78
Mizoram,245,43
Nagaland,280,93
Odisha,39,-18
Punjab,-168,171
Rajasthan,-229,99
Sikkim,137,113
Tamil Nadu,-110,-203
Telangana,-97,-71
Tripura,218,45
Uttar Pradesh,-68,110
Uttarakhand,-92,163
West Bengal,117,28
Ladakh,-128,244
